method,clusters_size,n_cluster,silhouette_score,coph_corr,features
complete,[2010 2185 1760],3,0.29187743876945577,0.5696257087303875,"['AVG position', '# cyclist races', 'std_dev position']"
single,[5952    1    1    1],4,0.28843639391594117,0.4708879691940416,"['BMI', 'AVG position', 'std_dev position']"
single,[5951    1    1    1    1],5,0.28629700663930696,0.4041068722633611,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
single,[   2 5950    1    1    1],5,0.2843800499710241,0.4708879691940416,"['BMI', 'AVG position', 'std_dev position']"
ward,[ 348 1026  715 1507 1136 1223],6,0.2830659880583542,0.646740869359579,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[2572  545 2838],3,0.28251342824563147,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
average,[   9  389 1032 3553  972],5,0.281550176519933,0.6486667771758948,"['# cyclist races', 'birth_year', 'std_dev position']"
complete,[1403  607 1839  346  362 1398],6,0.28060636469167016,0.5696257087303875,"['AVG position', '# cyclist races', 'std_dev position']"
average,[5310  620    4   21],4,0.27935847104728456,0.6667007969499511,"['BMI', 'AVG position', '# cyclist races']"
single,[   2 5949    1    1    1    1],6,0.2769945722532511,0.4708879691940416,"['BMI', 'AVG position', 'std_dev position']"
ward,[ 348 1026  715  364 1143 1136 1223],7,0.2759056914761313,0.646740869359579,"['# cyclist races', 'birth_year', 'std_dev position']"
complete,[ 591  504 2058 2802],4,0.27501922296307396,0.6114854066466168,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 595 2997  652 1711],4,0.2739281030284229,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
average,[   9  389 1032 1955 1598   11  961],7,0.27301175873232214,0.6486667771758948,"['# cyclist races', 'birth_year', 'std_dev position']"
single,[5948    1    1    1    1    1    1    1],8,0.2726429334544179,0.5259900939261013,"['BMI', 'AVG position', '# cyclist races']"
average,[   3  533  859  608  155 3797],6,0.27123983195093604,0.7380804986134185,"['AVG position', '# cyclist races', 'std_dev position']"
ward,[ 737 1164 1160 1570 1324],5,0.2705596114598916,0.611545680346891,"['AVG position', '# cyclist races', 'birth_year']"
ward,[1345 1949  931 1730],4,0.26991836822365617,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
ward,[ 348 1026  715  364  509  634 1136 1223],8,0.26966885105079474,0.646740869359579,"['# cyclist races', 'birth_year', 'std_dev position']"
average,[  16    2 4342 1595],4,0.26874997037727805,0.6004043652552291,"['BMI', 'AVG position', 'birth_year']"
ward,[ 683  655 4617],3,0.26857091387315113,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[  12   12 5931],3,0.26832069022524935,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
single,[   2 5949    1    1    1    1],6,0.2674707956731218,0.4121534600444764,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
average,[5934    7   14],3,0.2663949992095986,0.6274769819611113,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
ward,[ 737 1164  583  577  332 1238  594  730],8,0.26624716510478064,0.611545680346891,"['AVG position', '# cyclist races', 'birth_year']"
complete,[1403  607 1839  346  362  693  705],7,0.26592561854989266,0.5696257087303875,"['AVG position', '# cyclist races', 'std_dev position']"
average,[5382  165  403    5],4,0.26586066808362524,0.6667820291117917,"['BMI', '# cyclist races', 'birth_year']"
ward,[1825 1025  898 2207],4,0.2656243566755732,0.5435160428833015,"['BMI', '# cyclist races', 'std_dev position']"
ward,[ 737 1164  583  577 1570  594  730],7,0.2653120540766647,0.611545680346891,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 737 1164  583  577 1570 1324],6,0.26527103048061956,0.611545680346891,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 667 1158 1025  898 2207],5,0.26392349818007327,0.5435160428833015,"['BMI', '# cyclist races', 'std_dev position']"
average,[   9  389 1032 1955 1426  172   11  961],8,0.2631804066024457,0.6486667771758948,"['# cyclist races', 'birth_year', 'std_dev position']"
complete,[1403  607 1839   12  334  362  693  705],8,0.26201166862448677,0.5696257087303875,"['AVG position', '# cyclist races', 'std_dev position']"
average,[ 732   20  484  146  130 3262 1181],7,0.2605865322979379,0.7364650134194105,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 682  743 4530],3,0.2581485525847364,0.5877639933492288,"['BMI', 'AVG position', 'birth_year', 'std_dev position']"
ward,[1345 1949 2661],3,0.25533986947929826,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
average,[  19  530 3789 1617],4,0.2550051121557253,0.6444393002642427,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[  12   12  410 5521],4,0.253528965982896,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
average,[ 199    2 2343 2289 1122],5,0.2527246019655616,0.6514964994329338,"['AVG position', '# cyclist races', 'birth_year']"
average,[   3  533   16  843  608  155 2970  827],8,0.25159548388118075,0.7380804986134185,"['AVG position', '# cyclist races', 'std_dev position']"
single,[   2 5948    1    1    1    1    1],7,0.2490722126892702,0.4121534600444764,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
single,[5953    1    1],3,0.2484891926340256,0.43210463494143275,"['BMI', 'AVG position', 'birth_year', 'std_dev position']"
average,[  10  488 5457],3,0.24846253386621092,0.6309780419938165,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[1167 1104 3684],3,0.24726172865222423,0.507823048745844,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
average,[ 732   20  484  146  130 3262 1180    1],8,0.2471814922053283,0.7364650134194105,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 568  777 1949  931 1730],5,0.2470133854641569,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
average,[5382   11  154  403    5],5,0.24663583903255054,0.6667820291117917,"['BMI', '# cyclist races', 'birth_year']"
complete,[ 905 1192 3858],3,0.2453276087903099,0.5701979025032431,"['BMI', '# cyclist races', 'birth_year']"
ward,[1640 2676  452 1187],4,0.24493981646166157,0.5241501717663869,"['BMI', 'AVG position', 'std_dev position']"
ward,[1640 2676 1639],3,0.24482275454352953,0.5241501717663869,"['BMI', 'AVG position', 'std_dev position']"
single,[5950    1    1    1    1    1],6,0.24384687256751836,0.4041068722633611,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
complete,[3074 1072 1809],3,0.24318847234429478,0.524317011982459,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 983  955 4017],3,0.24268295990047958,0.5412291922194065,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
average,[  16    2 4342 1218  377],5,0.2417314034368138,0.6004043652552291,"['BMI', 'AVG position', 'birth_year']"
ward,[ 796 1776  545 2838],4,0.2413653814351879,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
single,[   2 5948    1    1    1    1    1],7,0.24122086251576688,0.4708879691940416,"['BMI', 'AVG position', 'std_dev position']"
average,[  12   12  410 1660 3717    2  142],7,0.23977895553838208,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
average,[ 199    2  169  842 1332 2289   56 1066],8,0.23893431237059404,0.6514964994329338,"['AVG position', '# cyclist races', 'birth_year']"
average,[ 117 1073 4765],3,0.2379787564255886,0.6360851901057543,"['BMI', 'birth_year', 'std_dev position']"
ward,[ 683  655 2738 1204  675],5,0.23791775066057128,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[  12   12  410 5377  144],5,0.23781842440916215,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
single,[   2    4 5944    1    1    1    1    1],8,0.23766124198923805,0.4121534600444764,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
complete,[ 449 1029 1800 1316 1361],5,0.2375288330386872,0.5327380706827063,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 796  468 1308  545  835 2003],6,0.23698918749885406,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
ward,[ 776  657  375  999  481 1042 1625],7,0.23655828223652528,0.6055728249194079,"['AVG position', '# cyclist races', 'std_dev position']"
single,[5950    1    3    1],4,0.23654718617439136,0.3545564260818407,"['AVG position', '# cyclist races', 'std_dev position']"
complete,[ 591  504 2058  168 2634],5,0.23626915079140012,0.6114854066466168,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 683  655 2738 1879],4,0.23564215895568427,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
single,[5950    1    1    1    1    1],6,0.23494133559354466,0.4053233345927715,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
average,[  19  530 5406],3,0.23439087790915655,0.6444393002642427,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[ 814 5009   19  113],4,0.23395942614670137,0.6789898954365812,"['BMI', 'AVG position', 'std_dev position']"
average,[  12   12  410 5377    2  142],6,0.23390927891497248,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
single,[   4    3 5944    1    1    1    1],7,0.23297124568867655,0.46192357799900957,"['BMI', 'birth_year', 'std_dev position']"
ward,[1769 1525 2661],3,0.23295234624918149,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
average,[5823   19  113],3,0.23049580021646013,0.6789898954365812,"['BMI', 'AVG position', 'std_dev position']"
average,[ 732   20  630  130 4443],5,0.2303354776532062,0.7364650134194105,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 776  657  375  999  481 1042  743  882],8,0.22963706585672006,0.6055728249194079,"['AVG position', '# cyclist races', 'std_dev position']"
complete,[3074 1072  366 1443],4,0.22957610252580118,0.524317011982459,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 527 1113 2676  452 1187],5,0.22854408240021942,0.5241501717663869,"['BMI', 'AVG position', 'std_dev position']"
average,[  19  530 2988  801 1616    1],6,0.22850914351091026,0.6444393002642427,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[3592  652 1711],3,0.22773151822660345,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 796  468 1308  545  835  409  476 1118],8,0.22735201103730512,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
