_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,climb/length
tour-de-france/2002/stage-14,Tour de France,100,,221000,4000,5,1489,,1,0,0,0.01809954751131222
tirreno-adriatico/2020/stage-2,Tirreno-Adriatico,50,60,201000,1492,2,687,,1,0,0,0.0074228855721393035
vuelta-a-espana/1980/stage-18,Vuelta a España,80,,197000,,,520,,1,0,0,
vuelta-a-espana/1994/stage-8,Vuelta a España,80,,39500,403,,791,,1,0,0,0.01020253164556962
vuelta-a-espana/1993/stage-4,Vuelta a España,80,,233400,1375,,819,,1,0,0,0.005891173950299915
tirreno-adriatico/1996/stage-4,Tirreno-Adriatico,50,,205000,,,585,,1,0,0,
tour-de-suisse/1986/stage-2,Tour de Suisse,50,,136500,,,835,,1,0,0,
tour-de-suisse/1987/stage-4,Tour de Suisse,50,,25000,,,673,,1,0,0,
vuelta-a-espana/1980/stage-8,Vuelta a España,80,,160000,,,520,,1,0,0,
liege-bastogne-liege/1999/result,Liège - Bastogne - Liège,275,,264000,,,1328,,0,0,0,
giro-d-italia/2021/stage-14,Giro d'Italia,80,100,205000,3580,5,885,,1,0,0,0.017463414634146343
tour-de-romandie/1989/stage-6,Tour de Romandie,50,,189200,,,502,,1,0,0,
tour-de-france/1997/stage-2,Tour de France,100,,262000,2808,1,1994,,1,0,0,0.010717557251908398
giro-d-italia/2015/stage-21,Giro d'Italia,80,16,185000,142,1,861,,1,0,0,0.0007675675675675675
paris-roubaix/2021/result,Paris-Roubaix,275,500,257700,1360,1,982,13,0,0,0,0.005277454404346139
giro-d-italia/1998/stage-3,Giro d'Italia,80,,196000,,,923,,1,0,0,
vuelta-a-espana/2018/stage-9,La Vuelta ciclista a España,80,100,200800,4399,5,1036,,1,0,0,0.021907370517928286
tour-de-france/2013/stage-12,Tour de France,100,20,218000,1425,1,1690,,1,0,0,0.006536697247706422
vuelta-a-espana/1985/stage-9,Vuelta a España,80,,253000,3500,,925,,1,0,0,0.01383399209486166
paris-nice/2004/stage-5,Paris - Nice,50,,215000,,,989,,1,0,0,
paris-nice/2016/stage-5,Paris - Nice,50,60,198000,3089,4,1109,,1,0,0,0.015601010101010102
vuelta-a-espana/2002/stage-10,Vuelta a España,80,,36500,355,1,1084,,1,0,0,0.009726027397260273
vuelta-a-espana/1989/stage-21,Vuelta a España,80,,188500,4695,,803,,1,0,0,0.024907161803713527
giro-d-italia/1997/stage-21,Giro d'Italia,80,,238000,,,792,,1,0,0,
tour-de-suisse/1988/stage-5,Tour de Suisse,50,,199000,,,548,,1,0,0,
volta-a-catalunya/2009/stage-2,Volta Ciclista a Catalunya,50,,163100,,2,668,,1,0,0,
vuelta-a-espana/1993/stage-6,Vuelta a España,80,,24100,814,,819,,1,0,0,0.03377593360995851
tour-de-suisse/1999/stage-8,Tour de Suisse,50,,168600,,,900,,1,0,0,
tour-de-france/2011/stage-1,Tour de France,100,20,191500,1286,3,1713,,1,0,0,0.0067154046997389034
tour-de-france/2008/stage-10,Tour de France,100,,156000,3794,5,1520,,1,0,0,0.02432051282051282
tour-de-france/1990/stage-1,Tour de France,100,,138500,1232,1,1959,,1,0,0,0.008895306859205776
tour-de-romandie/2015/stage-6,Tour de Romandie,50,6,17300,214,2,883,,1,0,0,0.012369942196531793
volta-a-catalunya/1993/stage-5,Volta Ciclista a Catalunya,50,,201000,5049,,884,,1,0,0,0.02511940298507463
volta-a-catalunya/1998/stage-1a,Volta Ciclista a Catalunya,50,,79200,,,859,,1,0,0,
tour-de-france/1992/stage-7,Tour de France,100,,196500,2010,1,2047,,1,0,0,0.010229007633587786
dauphine/2017/stage-7,Critérium du Dauphiné,50,60,167500,4717,5,1024,,1,0,0,0.028161194029850747
vuelta-a-espana/1984/stage-13,Vuelta a España,80,,170000,,,747,,1,0,0,
tour-de-suisse/1992/stage-10,Tour de Suisse,50,,188000,,,533,,1,0,0,
tour-de-suisse/1996/stage-1,Tour de Suisse,50,,190100,,,971,,1,0,0,
vuelta-a-espana/1989/stage-13,Vuelta a España,80,,161000,2500,,803,,1,0,0,0.015527950310559006
giro-d-italia/2016/stage-9,Giro d'Italia,80,100,40500,561,2,933,,1,0,0,0.013851851851851851
la-fleche-wallone/2000/result,La Flèche Wallonne,225,,198000,,3,819,,0,0,0,
tour-de-france/1983/stage-11,Tour de France,100,,177000,1202,1,1269,,1,0,0,0.006790960451977401
tour-de-suisse/1992/stage-4,Tour de Suisse,50,,32200,,,533,,1,0,0,
uae-tour/2019/stage-2,UAE Tour,50,40,184000,255,1,751,,1,0,0,0.0013858695652173912
liege-bastogne-liege/2002/result,Liège - Bastogne - Liège,275,,258000,,,1202,,0,0,0,
volta-a-catalunya/1970/stage-9,Volta Ciclista a Catalunya,50,,124200,,,570,,1,0,0,
tour-de-suisse/1986/stage-3,Tour de Suisse,50,,217500,,,835,,1,0,0,
gran-camino/2022/stage-3,Gran Camiño,20,14,148400,2669,2,225,,1,0,0,0.017985175202156336
tour-de-france/2012/stage-17,Tour de France,100,20,143500,4383,5,1703,,1,0,0,0.03054355400696864
world-championship/2002/result,World Championships ME - Road Race,350,,256000,1608,,1416,,0,0,0,0.00628125
tour-de-romandie/1987/stage-4,Tour de Romandie,50,,156000,,,251,,1,0,0,
vuelta-a-espana/2001/stage-1,Vuelta a España,80,,12300,95,1,971,,1,0,0,0.007723577235772358
paris-nice/2017/stage-8,Paris - Nice,50,60,115500,2292,4,1158,,1,0,0,0.019844155844155845
tour-de-france/1978/stage-16,Tour de France,100,,240500,5492,5,1241,,1,0,0,0.022835758835758835
amstel-gold-race/2018/result,Amstel Gold Race,225,500,263000,3496,2,1139,,0,0,0,0.013292775665399239
tour-de-suisse/1982/prologue,Tour de Suisse,50,,4000,,,657,,1,0,0,
vuelta-a-espana/2020/stage-11,La Vuelta ciclista a España,80,100,170000,5098,5,692,,1,0,0,0.029988235294117645
tour-de-suisse/2015/stage-4,Tour de Suisse,50,6,193200,2323,3,1048,,1,0,0,0.012023809523809523
tour-de-romandie/1991/stage-6,Tour de Romandie,50,,194500,,,521,,1,0,0,
giro-d-italia/1996/stage-15,Giro d'Italia,80,,235000,,,1034,,1,0,0,
paris-nice/2019/stage-3,Paris - Nice,50,60,200000,896,1,1099,,1,0,0,0.00448
paris-nice/2000/prologue,Paris - Nice,50,,7900,,,880,,1,0,0,
itzulia-basque-country/2009/stage-6,Vuelta Ciclista al País Vasco,50,,24000,,,1029,,1,0,0,
tour-de-suisse/1977/stage-7,Tour de Suisse,50,,151000,,,627,,1,0,0,
tour-de-france/1981/stage-14,Tour de France,100,,38500,334,1,1362,,1,0,0,0.008675324675324675
vuelta-a-espana/2018/stage-15,La Vuelta ciclista a España,80,100,178200,4586,5,1036,,1,0,0,0.0257351290684624
dwars-door-vlaanderen/1999/result,Dwars door België / À travers la Belgique,75,,200000,,,340,,0,0,0,
tour-de-suisse/1990/stage-4,Tour de Suisse,50,,98000,,,767,,1,0,0,
dauphine/2005/stage-5,Critérium du Dauphiné Libéré,50,,219000,,,933,,1,0,0,
dauphine/2004/stage-7,Critérium du Dauphiné Libéré,50,,200000,,,737,,1,0,0,
vuelta-a-espana/2009/stage-1,Vuelta a España,80,,4800,13,1,1220,,1,0,0,0.0027083333333333334
itzulia-basque-country/2018/stage-6,Itzulia Basque Country,50,50,122200,2853,5,824,,1,0,0,0.02334697217675941
e3-harelbeke/2001/result,E3-Prijs Harelbeke,125,,209000,,2,369,,0,0,0,
tour-de-suisse/1987/stage-2,Tour de Suisse,50,,178500,,,673,,1,0,0,
tour-de-france/1999/stage-19,Tour de France,70,,57000,543,1,1255,,1,0,0,0.009526315789473685
amstel-gold-race/2006/result,Amstel Gold Race,225,,253100,,,1019,,0,0,0,
vuelta-a-espana/2007/stage-8,Vuelta a España,80,,49000,97,1,995,,1,0,0,0.001979591836734694
tirreno-adriatico/2022/stage-5,Tirreno-Adriatico,50,60,155000,2402,3,1059,,1,0,0,0.015496774193548387
vuelta-a-espana/1999/prologue,Vuelta a España,80,,6000,63,,1342,,1,0,0,0.0105
vuelta-a-espana/2022/stage-2,La Vuelta ciclista a España,80,100,175100,518,1,968,24,1,0,0,0.0029583095374071957
tour-de-suisse/2004/stage-9,Tour de Suisse,50,,25600,,,676,,1,0,0,
tour-de-france/1979/stage-15,Tour de France,100,,55500,1900,5,1381,,1,0,0,0.03423423423423423
amstel-gold-race/2022/result,Amstel Gold Race,225,500,254100,3460,2,705,10,0,0,0,0.01361668634395907
tour-de-suisse/2016/stage-9,Tour de Suisse,50,60,57000,2625,2,680,,1,0,0,0.046052631578947366
paris-nice/1997/stage-4,Paris - Nice,50,,197500,,,779,,1,0,0,
vuelta-a-espana/2010/stage-10,Vuelta a España,80,16,173700,2459,2,1123,,1,0,0,0.014156591824985607
itzulia-basque-country/2004/stage-5b,Vuelta al País Vasco,50,,8500,,,1020,,1,0,0,
tour-de-france/1984/stage-13,Tour de France,100,,220500,2799,2,1632,,1,0,0,0.012693877551020407
milano-sanremo/1983/result,Milano-Sanremo,275,,294000,,,1251,,0,0,0,
tour-de-france/1985/stage-10,Tour de France,100,,204500,3000,5,1470,,1,0,0,0.014669926650366748
dauphine/2009/stage-5,Critérium du Dauphiné Libéré,50,,154000,,,708,,1,0,0,
giro-d-italia/2014/stage-11,Giro d'Italia,80,16,249000,3435,2,892,,1,0,0,0.013795180722891567
vuelta-a-espana/1982/stage-1b,Vuelta a España,80,,97000,,,523,,1,0,0,
tirreno-adriatico/1990/stage-7,Tirreno-Adriatico,50,,178000,,,590,,1,0,0,
tour-de-suisse/1989/stage-6,Tour de Suisse,50,,203000,,,604,,1,0,0,
paris-nice/1995/stage-2,Paris - Nice,50,,187000,,,861,,1,0,0,
giro-d-italia/1999/stage-19,Giro d'Italia,80,,166000,,5,1057,,1,0,0,
giro-d-italia/2010/stage-21,Giro d'Italia,80,16,15300,288,2,878,,1,0,0,0.018823529411764704
dauphine/2023/stage-7,Critérium du Dauphiné,50,60,147900,4015,5,781,19,1,0,0,0.027146720757268424
dauphine/2004/stage-3,Critérium du Dauphiné Libéré,50,,180000,,,737,,1,0,0,
tour-de-france/1981/stage-12b,Tour de France,100,,133800,969,1,1362,,1,0,0,0.007242152466367713
uae-tour/2022/stage-1,UAE Tour,50,40,184000,1303,1,621,,1,0,0,0.007081521739130435
