_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,date,climb/length,median_delta,std_delta
volta-a-catalunya/2012/stage-2,Volta Ciclista a Catalunya,50,,161000,2451,2,760,,1,0,0,2012-03-20,0.01522360248447205,129.0,272.3164755521465
vuelta-a-espana/2019/stage-9,La Vuelta ciclista a España,80,100,94400,3300,5,798,,1,0,0,2019-09-01,0.034957627118644065,1702.0,681.0770038828457
giro-d-italia/2016/stage-6,Giro d'Italia,80,100,157000,3749,5,933,,1,0,0,2016-05-12,0.023878980891719744,905.0,413.81683048495626
tour-de-france/1997/stage-15,Tour de France,100,,208500,5000,4,1994,,1,0,0,1997-07-21,0.023980815347721823,1389.0,771.6551063265885
tour-de-france/2000/stage-8,Tour de France,100,,203500,2570,1,1437,,1,0,0,2000-07-08,0.01262899262899263,342.0,88.16524469672281
tour-de-france/1981/stage-2,Tour de France,100,,254000,3500,1,1362,,1,0,0,1981-06-27,0.013779527559055118,25.0,269.46517614456974
volta-a-catalunya/1993/prologue,Volta Ciclista a Catalunya,50,,6800,65,1,884,,1,0,0,1993-09-09,0.009558823529411765,24.5,8.618218157515294
tirreno-adriatico/1999/stage-4,Tirreno-Adriatico,50,,197000,2970,3,1150,,1,0,0,1999-03-13,0.015076142131979695,549.0,431.05907419584724
tour-de-france/1981/stage-15,Tour de France,100,,231000,4000,4,1362,,1,0,0,1981-07-11,0.017316017316017316,29.5,512.0310174152299
tour-de-suisse/1998/stage-1,Tour de Suisse,50,,178000,1721,1,971,,1,0,0,1998-06-17,0.009668539325842697,41.0,25.43980785166059
giro-d-italia/2017/stage-15,Giro d'Italia,80,100,199000,2255,2,881,,1,0,0,2017-05-21,0.011331658291457287,784.0,462.7438791278446
dauphine/1983/stage-6,Critérium du Dauphiné Libéré,50,,190000,1899,1,621,,1,0,0,1983-06-05,0.009994736842105263,180.0,122.3915846780325
la-fleche-wallone/2015/result,La Flèche Wallonne,225,,205500,3030,3,1112,,0,0,0,2015-04-22,0.014744525547445255,136.0,258.48195939185956
vuelta-a-espana/2014/stage-9,Vuelta a España,80,16,185000,3080,5,1175,,1,0,0,2014-08-31,0.016648648648648647,905.0,546.1052364981479
giro-d-italia/2011/stage-13,Giro d'Italia,80,16,167000,4208,5,891,,1,0,0,2011-05-20,0.025197604790419163,950.0,434.09998038710546
giro-d-italia/2010/stage-9,Giro d'Italia,80,16,188000,1018,3,878,,1,0,0,2010-05-17,0.005414893617021277,91.0,202.11477785014722
e3-harelbeke/2002/result,E3-Prijs Harelbeke,125,,209000,1671,2,400,,0,0,0,2002-03-30,0.007995215311004784,681.0,287.8575955736468
paris-nice/2018/stage-3,Paris - Nice,50,60,210000,2380,2,936,,1,0,0,2018-03-06,0.011333333333333334,97.0,291.1354635791653
vuelta-a-espana/2020/stage-7,La Vuelta ciclista a España,80,100,159700,2657,2,692,,1,0,0,2020-10-27,0.016637445209768315,676.0,405.79735140683835
tirreno-adriatico/1994/stage-6,Tirreno-Adriatico,50,,137000,772,1,727,,1,0,0,1994-03-14,0.005635036496350365,43.5,13.945927322659072
itzulia-basque-country/2007/stage-3,Vuelta al País Vasco,50,,173000,2731,3,1002,,1,0,0,2007-04-11,0.015786127167630056,160.0,486.2012688546999
itzulia-basque-country/2012/stage-1,Vuelta Ciclista al País Vasco,50,6,154000,2703,4,928,,1,0,0,2012-04-02,0.01755194805194805,0.0,181.30833607639485
tirreno-adriatico/2018/stage-2,Tirreno-Adriatico,50,60,167000,776,1,1196,,1,0,0,2018-03-08,0.0046467065868263475,0.0,125.97430608246755
vuelta-a-espana/1988/stage-18,Vuelta a España,80,,212500,3610,4,828,,1,0,0,1988-05-12,0.016988235294117648,147.0,67.8731660280163
tour-de-france/2002/stage-14,Tour de France,100,,221000,4000,5,1489,,1,0,0,2002-07-21,0.01809954751131222,1339.0,525.0680170373435
tirreno-adriatico/2020/stage-2,Tirreno-Adriatico,50,60,201000,1492,2,687,,1,0,0,2020-09-08,0.0074228855721393035,0.0,77.99606115552903
vuelta-a-espana/1980/stage-18,Vuelta a España,80,,197000,3030,3,520,,1,0,0,1980-05-10,0.015380710659898477,771.0,480.0710558219406
vuelta-a-espana/1994/stage-8,Vuelta a España,80,,39500,403,1,791,,1,0,0,1994-05-02,0.01020253164556962,140.5,58.48466085697647
vuelta-a-espana/1993/stage-4,Vuelta a España,80,,233400,1375,1,819,,1,0,0,1993-04-29,0.005891173950299915,0.0,23.90286176120243
tirreno-adriatico/1996/stage-4,Tirreno-Adriatico,50,,205000,1754,1,585,,1,0,0,1996-03-16,0.00855609756097561,31.0,13.66747965061591
tour-de-suisse/1986/stage-2,Tour de Suisse,50,,136500,1109,1,835,,1,0,0,1986-06-12,0.008124542124542125,0.0,0.0
tour-de-suisse/1987/stage-4,Tour de Suisse,50,,25000,284,2,673,,1,0,0,1987-06-20,0.01136,53.5,24.493990192607566
vuelta-a-espana/1980/stage-8,Vuelta a España,80,,160000,1447,1,520,,1,0,0,1980-04-30,0.00904375,0.0,0.0
liege-bastogne-liege/1999/result,Liège - Bastogne - Liège,275,,264000,4352,3,1328,,0,0,0,1999-04-18,0.016484848484848484,482.0,450.01027486592955
giro-d-italia/2021/stage-14,Giro d'Italia,80,100,205000,3580,5,885,,1,0,0,2021-05-22,0.017463414634146343,1871.0,824.5497682232697
tour-de-romandie/1989/stage-6,Tour de Romandie,50,,189200,1095,1,502,,1,0,0,1989-05-14,0.005787526427061311,0.0,0.0
tour-de-france/1997/stage-2,Tour de France,100,,262000,2808,1,1994,,1,0,0,1997-07-07,0.010717557251908398,0.0,134.4094142282316
giro-d-italia/2015/stage-21,Giro d'Italia,80,16,185000,142,1,861,,1,0,0,2015-05-31,0.0007675675675675675,57.0,79.96777119125161
paris-roubaix/2021/result,Paris-Roubaix,275,500,257700,1360,1,982,13,0,0,0,2021-10-03,0.005277454404346139,744.0,495.25025472242964
giro-d-italia/1998/stage-3,Giro d'Italia,80,,196000,2188,2,923,,1,0,0,1998-05-19,0.011163265306122449,13.0,25.292171597144026
vuelta-a-espana/2018/stage-9,La Vuelta ciclista a España,80,100,200800,4399,5,1036,,1,0,0,2018-09-02,0.021907370517928286,1068.0,545.2747242281339
tour-de-france/2013/stage-12,Tour de France,100,20,218000,1425,1,1690,,1,0,0,2013-07-11,0.006536697247706422,0.0,107.66545834109671
vuelta-a-espana/1985/stage-9,Vuelta a España,80,,253000,3500,3,925,,1,0,0,1985-05-02,0.01383399209486166,1181.0,234.860224501413
paris-nice/2004/stage-5,Paris - Nice,50,,215000,2511,2,989,,1,0,0,2004-03-11,0.01167906976744186,264.0,200.13851670525025
paris-nice/2016/stage-5,Paris - Nice,50,60,198000,3089,4,1109,,1,0,0,2016-03-11,0.015601010101010102,29.0,459.9402220931434
vuelta-a-espana/2002/stage-10,Vuelta a España,80,,36500,355,1,1084,,1,0,0,2002-09-16,0.009726027397260273,330.5,130.34017374917033
vuelta-a-espana/1989/stage-21,Vuelta a España,80,,188500,4695,5,803,,1,0,0,1989-05-14,0.024907161803713527,22.0,8.305955025696257
giro-d-italia/1997/stage-21,Giro d'Italia,80,,238000,2016,1,792,,1,0,0,1997-06-07,0.008470588235294117,120.0,129.37317504433688
tour-de-suisse/1988/stage-5,Tour de Suisse,50,,199000,1123,1,548,,1,0,0,1988-06-18,0.00564321608040201,34.5,11.554700823089757
volta-a-catalunya/2009/stage-2,Volta Ciclista a Catalunya,50,,163100,2293,2,668,,1,0,0,2009-05-19,0.014058859595340282,61.0,265.643770948009
vuelta-a-espana/1993/stage-6,Vuelta a España,80,,24100,814,5,819,,1,0,0,1993-05-01,0.03377593360995851,441.0,139.69213422830057
tour-de-suisse/1999/stage-8,Tour de Suisse,50,,168600,3276,4,900,,1,0,0,1999-06-23,0.019430604982206407,1029.0,468.18006209121086
tour-de-france/2011/stage-1,Tour de France,100,20,191500,1286,3,1713,,1,0,0,2011-07-02,0.0067154046997389034,115.0,105.29394186095378
tour-de-france/2008/stage-10,Tour de France,100,,156000,3794,5,1520,,1,0,0,2008-07-14,0.02432051282051282,1468.0,652.1106911762079
tour-de-france/1990/stage-1,Tour de France,100,,138500,1232,1,1959,,1,0,0,1990-07-01,0.008895306859205776,635.0,89.9650550011833
tour-de-romandie/2015/stage-6,Tour de Romandie,50,6,17300,214,2,883,,1,0,0,2015-05-03,0.012369942196531793,125.0,70.91447320423931
volta-a-catalunya/1993/stage-5,Volta Ciclista a Catalunya,50,,201000,5049,5,884,,1,0,0,1993-09-14,0.02511940298507463,49.0,23.26822997814379
volta-a-catalunya/1998/stage-1a,Volta Ciclista a Catalunya,50,,79200,1276,3,859,,1,0,0,1998-06-18,0.01611111111111111,0.0,1.9599157740244455
tour-de-france/1992/stage-7,Tour de France,100,,196500,2010,1,2047,,1,0,0,1992-07-11,0.010229007633587786,94.0,230.8556768839283
dauphine/2017/stage-7,Critérium du Dauphiné,50,60,167500,4717,5,1024,,1,0,0,2017-06-10,0.028161194029850747,957.0,616.2163432595925
vuelta-a-espana/1984/stage-13,Vuelta a España,80,,170000,1761,1,747,,1,0,0,1984-04-30,0.010358823529411764,7.0,35.76879026191819
