*** Grid search for a Decision Tree defined on the randomly undersampled dataset. Scoring='f1_macro' ***
Best configuration: 0.726628 using {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 24, 'min_samples_split': 38}
Mean and std of this setting: 0.724947 - 0.003353

All configurations sorted by score:
Mean: 0.701626, Std: 0.009513 with: {'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 43}
Mean: 0.681378, Std: 0.013291 with: {'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 36, 'min_samples_split': 15}
Mean: 0.679068, Std: 0.015786 with: {'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 29}
Mean: 0.677679, Std: 0.015123 with: {'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 28, 'min_samples_split': 8}
Mean: 0.661782, Std: 0.021219 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 49, 'min_samples_split': 50}
Mean: 0.660864, Std: 0.021704 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 45}
Mean: 0.660840, Std: 0.026698 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 45, 'min_samples_split': 42}
Mean: 0.659210, Std: 0.034148 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 49, 'min_samples_split': 18}
Mean: 0.656856, Std: 0.020013 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 40, 'min_samples_split': 22}
Mean: 0.654690, Std: 0.019126 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 29}
Mean: 0.652617, Std: 0.016029 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 42}
Mean: 0.650349, Std: 0.032023 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 37, 'min_samples_split': 48}
Mean: 0.650246, Std: 0.024286 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 42, 'min_samples_split': 29}
